SN,adjclose,open,high,low,volume,s,RSI
1475.0,162,169,169,160,9089,ok,43.22132134
1555.0,246,250,255,244,15711,ok,58.19396452
1442.0,180,171,183,168,4888,ok,49.1370196
1431.0,189,180,190,178,7446,ok,57.48871458
1483.0,160,160,160,160,400,ok,40.75697299
1564.0,245,236,247,234,10993,ok,54.02514653
1466.0,170,170,172,170,638,ok,52.98318665
1542.0,249,232,250,229,112049,ok,78.79993
1409.0,184,187,187,183,1596,ok,54.68617998
1468.0,166,169,170,166,277,ok,47.74333096
1372.0,191,192,193,190,1140,ok,47.18393047
1290.0,186,185,186,183,3452,ok,60.92060113
1364.0,192,196,196,192,330,ok,46.52104137
1299.0,182,184,184,182,1250,ok,48.48976507
1331.0,199,199,199,194,1350,ok,58.3065043
1423.0,183,179,183,179,1562,ok,51.17645565
1543.0,264,261,266,256,57451,ok,83.50348519
1451.0,157,165,165,154,2234,ok,30.51416307
1321.0,190,191,191,189,2950,ok,52.62339363
1539.0,225,227,230,225,25941,ok,64.12762592
1401.0,168,163,168,163,2394,ok,37.60870064
1297.0,192,187,192,187,1482,ok,62.38660251
1449.0,165,165,165,165,10,ok,36.82598418
1493.0,170,170,177,168,9232,ok,60.18763555
1289.0,182,182,182,182,35,ok,54.65385951
1300.0,191,185,191,185,1577,ok,58.08715393
1282.0,180,180,180,180,693,ok,55.63215669
1570.0,234,232,234,232,3136,ok,47.04953988
1554.0,249,245,258,245,25402,ok,61.0135453
1547.0,248,250,250,244,39627,ok,65.54391097
1422.0,176,181,181,176,2860,ok,44.4488282
1472.0,166,169,169,164,1242,ok,47.99887459
1288.0,183,182,183,182,407,ok,56.76708496
1512.0,200,200,203,198,15967,ok,70.48151231
1283.0,180,180,180,180,50,ok,55.63215669
1448.0,166,166,167,164,3879,ok,37.68936869
1531.0,219,229,229,217,17200,ok,65.21464005
1517.0,215,213,218,213,53871,ok,76.15283044
1404.0,173,170,177,170,2169,ok,45.45928996
1499.0,173,172,173,170,4557,ok,60.28081707
1460.0,170,163,170,161,4950,ok,54.43079688
1363.0,194,195,195,193,40,ok,50.73465803
1425.0,179,178,180,178,864,ok,47.77381033
1410.0,187,187,187,180,6382,ok,57.36532863
1399.0,161,166,166,161,1068,ok,25.86677266
1427.0,177,173,182,173,3276,ok,47.24102859
1429.0,176,181,181,176,800,ok,46.44874461
1304.0,187,193,193,187,1117,ok,52.52804038
1498.0,171,173,178,169,10660,ok,57.64921244
1398.0,163,159,163,159,1709,ok,27.15185924
1367.0,188,194,194,188,1812,ok,40.30451607
1550.0,247,245,250,244,16808,ok,63.04036253
1438.0,177,181,181,177,3231,ok,44.10577289
1515.0,200,199,201,199,15613,ok,66.81496801
1428.0,178,177,183,177,3294,ok,48.12504147
1308.0,190,191,196,190,1046,ok,55.29745725
1287.0,185,188,188,185,373,ok,61.15874674
1294.0,189,187,190,187,2691,ok,61.16625549
1454.0,154,155,156,154,4656,ok,29.21850067
1463.0,167,168,168,165,1502,ok,49.44788658
1426.0,170,176,179,170,9600,ok,40.66906109
1432.0,189,189,201,186,7032,ok,57.48871458
1434.0,189,192,195,188,4580,ok,57.48871458
1333.0,198,198,200,195,200,ok,56.7121111
1459.0,162,162,162,161,1100,ok,43.37869248
1435.0,189,189,193,189,5844,ok,57.48871458
1447.0,169,169,170,163,2686,ok,40.32289828
1390.0,197,199,199,197,3230,ok,55.30416436
1508.0,200,193,203,193,35809,ok,72.46096465
1571.0,231,230,237,230,7554,ok,44.91982805
1324.0,200,199,201,197,16870,ok,63.40600394
1583.0,301,287,301,277,76837,ok,76.25536661
1461.0,175,173,178,173,3518,ok,59.72246575
1496.0,167,169,169,167,3524,ok,52.47604585
1336.0,194,193,194,193,340,ok,50.198699
1411.0,171,190,190,169,3038,ok,42.82318296
1473.0,164,164,164,163,1153,ok,45.36624075
1326.0,197,199,199,197,4360,ok,58.30628738
1406.0,191,180,195,180,7025,ok,62.5224877
1417.0,190,190,190,184,1391,ok,57.84479803
1474.0,166,165,167,165,3954,ok,48.4133062
1400.0,163,158,163,158,433,ok,29.46211249
1580.0,259,257,260,253,19487,ok,59.93703102
1482.0,160,160,163,159,4439,ok,40.75697299
1373.0,192,191,192,191,636,ok,49.76496397
1392.0,162,160,162,157,1241,ok,24.17142776
1433.0,189,186,189,185,1064,ok,57.48871458
1524.0,215,210,217,210,6275,ok,63.02343726
1405.0,179,176,180,175,2474,ok,52.33958392
1393.0,162,165,165,162,275,ok,24.17142776
1566.0,240,240,242,236,3281,ok,50.88351225
1339.0,195,195,195,193,3910,ok,51.24517223
1456.0,156,156,159,154,2359,ok,32.99444426
1430.0,178,176,178,175,6349,ok,48.38490456
1513.0,203,204,207,201,12807,ok,72.5010449
1340.0,196,195,197,195,2210,ok,52.90324974
1330.0,197,202,202,195,3217,ok,56.00971193
1355.0,195,192,195,192,2332,ok,52.29140525
1345.0,196,198,198,196,220,ok,52.63603376
1506.0,188,186,192,184,18855,ok,64.77717733
1317.0,187,191,191,187,1078,ok,48.76363868
1548.0,249,252,257,246,32299,ok,66.11377603
1453.0,157,153,159,153,5882,ok,31.51549948
1467.0,170,170,171,167,968,ok,52.98318665
1316.0,193,192,195,190,5743,ok,56.59620607
1530.0,219,219,223,218,6720,ok,65.21464005
1495.0,170,166,170,166,6854,ok,58.06701767
1322.0,200,193,207,193,24852,ok,63.40600394
1522.0,215,227,227,211,8635,ok,64.76194202
1563.0,232,222,233,217,17329,ok,45.97155327
1403.0,170,175,175,170,1640,ok,41.54110351
1534.0,221,223,224,219,22224,ok,66.33072791
1436.0,190,189,191,186,5715,ok,58.45367564
1552.0,235,239,241,235,9406,ok,51.05100753
1424.0,178,180,180,177,3431,ok,46.81519361
1341.0,196,196,196,196,250,ok,52.90324974
1313.0,190,187,190,184,1390,ok,53.28457543
1418.0,184,187,187,184,358,ok,51.75144003
1414.0,184,186,189,184,1907,ok,53.45713442
1381.0,194,194,194,194,10,ok,52.24815289
1391.0,199,199,200,197,9395,ok,58.48930619
1407.0,188,201,201,188,2008,ok,59.12165635
1489.0,163,164,166,161,1291,ok,47.39244835
1452.0,156,158,159,154,4363,ok,29.80750048
1464.0,165,170,170,164,508,ok,47.18158451
1335.0,195,194,197,194,744,ok,51.78898152
1359.0,193,194,195,193,178,ok,48.10941446
1384.0,192,191,194,189,2830,ok,49.11420746
1568.0,234,235,236,233,2976,ok,46.98362384
1356.0,195,197,197,195,87,ok,52.29140525
1503.0,195,199,204,195,28564,ok,78.58535461
1298.0,184,189,189,184,1328,ok,50.89457196
1382.0,191,194,194,191,3620,ok,47.22171587
1351.0,193,193,193,192,1530,ok,47.42551582
