,id,contractId,contractType,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
186,,2021053105001174,,SHL,46,28,135,242.0,32670.0,2021-05-31,30147051,147,Kalika Securities Pvt. Ltd.,Shree Krishna Securities Ltd.,2021-05-31T14:20:23.948433,Soaltee Hotel Limited
187,,2021053105001173,,SHL,46,51,100,242.0,24200.0,2021-05-31,30147029,147,Kalika Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2021-05-31T14:20:21.443033,Soaltee Hotel Limited
188,,2021053105001172,,SHL,46,17,100,242.0,24200.0,2021-05-31,30147027,147,Kalika Securities Pvt. Ltd.,ABC Securities Private Limited,2021-05-31T14:20:21.442499,Soaltee Hotel Limited
189,,2021053105001171,,SHL,46,48,213,242.0,51546.0,2021-05-31,30147025,147,Kalika Securities Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T14:20:21.441798,Soaltee Hotel Limited
190,,2021053105001170,,SHL,3,48,200,242.0,48400.0,2021-05-31,30146922,147,Arun Securities (PVT) Ltd.,Trishakti Securities Public Limited,2021-05-31T14:20:15.34084,Soaltee Hotel Limited
191,,2021053105001169,,SHL,49,48,187,242.0,45254.0,2021-05-31,30146912,147,Online Securities Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T14:20:14.207472,Soaltee Hotel Limited
192,,2021053105001168,,SHL,38,48,200,242.0,48400.0,2021-05-31,30146816,147,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trishakti Securities Public Limited,2021-05-31T14:20:05.96038,Soaltee Hotel Limited
193,,2021053105001167,,SHL,38,48,300,242.0,72600.0,2021-05-31,30146809,147,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,Trishakti Securities Public Limited,2021-05-31T14:20:05.95963,Soaltee Hotel Limited
194,,2021053105001166,,SHL,45,48,200,242.0,48400.0,2021-05-31,30146006,147,Imperial Securities Company Pvt. Ltd.,Trishakti Securities Public Limited,2021-05-31T14:19:25.496728,Soaltee Hotel Limited
195,,2021053105001165,,SHL,29,48,200,242.0,48400.0,2021-05-31,30145950,147,Trisul Securities & Invt. Ltd.,Trishakti Securities Public Limited,2021-05-31T14:19:19.921265,Soaltee Hotel Limited
196,,2021053105001164,,SHL,6,48,100,242.0,24200.0,2021-05-31,30144234,147,Agrawal Securities (PVT) Ltd.,Trishakti Securities Public Limited,2021-05-31T14:17:47.444553,Soaltee Hotel Limited
197,,2021053105001163,,SHL,6,57,400,242.0,96800.0,2021-05-31,30144231,147,Agrawal Securities (PVT) Ltd.,Aryatara Investment & Securities,2021-05-31T14:17:47.444381,Soaltee Hotel Limited
198,,2021053105001162,,SHL,34,42,100,241.0,24100.0,2021-05-31,30143089,147,Vision Securities Pvt. Ltd,Sani Securities Company Ltd.,2021-05-31T14:16:24.703257,Soaltee Hotel Limited
199,,2021053105001161,,SHL,42,57,200,242.0,48400.0,2021-05-31,30143054,147,Sani Securities Company Ltd.,Aryatara Investment & Securities,2021-05-31T14:16:22.601429,Soaltee Hotel Limited
200,,2021053105001160,,SHL,28,28,100,242.0,24200.0,2021-05-31,30142968,147,Shree Krishna Securities Ltd.,Shree Krishna Securities Ltd.,2021-05-31T14:16:14.743935,Soaltee Hotel Limited
201,,2021053105001159,,SHL,41,19,50,242.0,12100.0,2021-05-31,30140411,147,Linch Stock Market Ltd.,Nepal Investment And Securities Trading Private Limited,2021-05-31T14:13:30.726349,Soaltee Hotel Limited
202,,2021053105001158,,SHL,34,41,100,241.0,24100.0,2021-05-31,30140307,147,Vision Securities Pvt. Ltd,Linch Stock Market Ltd.,2021-05-31T14:13:20.603388,Soaltee Hotel Limited
203,,2021053105001157,,SHL,34,48,100,241.0,24100.0,2021-05-31,30137649,147,Vision Securities Pvt. Ltd,Trishakti Securities Public Limited,2021-05-31T14:09:43.816619,Soaltee Hotel Limited
204,,2021053105001156,,SHL,58,51,100,241.0,24100.0,2021-05-31,30137388,147,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,2021-05-31T14:09:27.306457,Soaltee Hotel Limited
205,,2021053105001155,,SHL,45,6,100,241.0,24100.0,2021-05-31,30136302,147,Imperial Securities Company Pvt. Ltd.,Agrawal Securities (PVT) Ltd.,2021-05-31T14:07:54.755814,Soaltee Hotel Limited
206,,2021053105001154,,SHL,21,50,228,240.0,54720.0,2021-05-31,30135935,147,Midas Stock Broking Company Private Limited,Cristal Kanchanjanga Securites Pvt. Ltd.,2021-05-31T14:07:21.472893,Soaltee Hotel Limited
