,adjclose,open,high,low,volume,other,RSI,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,WilliamR
1585,600,600.0,603.0,596,3131,ok,48.88361205497381,62.745098039215684,0.8868643261825302,0.9622881087275105,0.9509833999528475,-2.466565731403989,4.772795454699069,14.357524948787141,593.7,569.516534574339,617.8834654256611,8.146695444049552,600.3666666666666,571.9666666666666,4.845038384987201,-37.254901960784316
1586,605,589.0,605.0,589,12267,ok,51.690118648093794,72.54901960784314,1.0,0.9622881087275106,0.956635754340179,-0.8415797326949814,5.118225162726461,14.521772453908426,593.25,570.2902526147575,616.2097473852425,7.740327816348086,602.4666666666667,573.0666666666667,5.001984914648666,-27.45098039215686
1587,615,596.0,615.0,591,3552,ok,56.79887977622108,92.15686274509804,1.0,0.9622881087275106,0.9622881087275106,1.4137582351210085,5.898850504433962,15.469595208517584,593.4,569.9189438058219,616.8810561941781,7.914073540336404,606.1,574.3,5.3880040664181745,-7.8431372549019605
1588,602,603.0,603.0,593,4778,ok,49.47423233200973,66.66666666666667,0.7539188877488694,0.917972962582957,0.9475163933459928,1.4936521823734665,4.782995561349136,16.122635687665827,593.35,569.9467950913951,616.753204908605,7.888499168654234,608.7666666666667,576.5666666666667,5.433070866141721,-33.333333333333336
1589,593,590.0,601.0,590,2111,ok,45.134714333948104,49.01960784313726,0.6081271040855148,0.7873486639447952,0.8892032450850876,0.5120072031313612,3.0410804656856247,15.710372118899244,593.05,569.7908082686832,616.3091917313167,7.8439226814996115,610.8,578.8,5.379959650302623,-50.98039215686274
1590,578,582.0,582.0,571,2621,ok,38.99552979898363,19.607843137254903,0.40187316897319375,0.5879730536025264,0.7644315600434263,-1.8459697504958967,0.5464828096466938,16.33933490700932,591.95,568.0378691874989,615.8621308125012,8.079104928626107,611.1,578.7,5.446293494704989,-80.3921568627451
1591,577,580.0,580.0,576,6126,ok,38.61840271664752,17.647058823529413,0.38920309132261194,0.46640112146044066,0.6139076130025874,-3.541707650522312,-0.9194040723037773,15.105401416308387,591.1,566.3460104226779,615.8539895773222,8.37556744284289,609.4,578.8,5.150648039050668,-82.3529411764706
1592,580,585.0,590.0,580,2172,ok,40.47815549062615,23.529411764705884,0.4516839185048766,0.4142533929335612,0.48954252266550946,-4.293286750527727,-1.3367865378473538,14.894861274677549,590.2,565.2072010372151,615.192798962785,8.469264304569618,604.7666666666667,581.7666666666667,3.8768400943926284,-76.47058823529412
1593,588,575.0,590.0,572,2114,ok,45.24260999977426,35.416666666666664,0.5427102225503418,0.4611990774592772,0.44728453061775975,-3.818001023357965,-0.689200648542073,15.205375147209793,589.35,565.2894513779466,613.4105486220534,8.16511364114817,604.6333333333333,580.6333333333333,4.049721581641262,-64.58333333333333
1594,595,590.0,595.0,583,2643,ok,49.08313992890372,50.0,0.575603004143702,0.5233323817329739,0.4662616173752708,-2.6173590138736245,0.40915308875381395,14.884837632488814,589.3,565.2908350833645,613.3091649166354,8.148367526433201,603.5666666666667,578.9666666666667,4.160559251324844,-50.0
1595,580,596.0,596.0,580,1709,ok,42.2454926219,18.75,0.19950466059648894,0.43927262909684467,0.47460136276303194,-3.389326044011,-0.29025115310684857,14.996353869239934,588.4,564.4133370392168,612.3866629607832,8.153182515561925,603.0333333333333,576.6333333333333,4.475840632947157,-81.25
1596,575,580.0,580.0,575,3602,ok,40.233503452540056,9.090909090909092,0.0888370932511942,0.2879815859971288,0.41686219894231585,-4.394900137834156,-1.0366601975440037,13.996718482315941,588.15,563.7182583511898,612.5817416488102,8.307996820134388,599.6333333333333,575.4333333333333,4.118915238851704,-90.9090909090909
1597,573,573.0,577.0,571,1776,ok,39.42467201409338,4.545454545454546,0.04434808255052305,0.11089661213273584,0.27938360907556975,-5.203818026456588,-1.476462468933148,13.197046634084348,587.8,562.7193301526013,612.8806698473986,8.533742717726666,594.5,573.9,3.526189661074978,-95.45454545454545
1598,580,584.0,595.0,571,3528,ok,43.691424408403755,20.454545454545453,0.27903677528004456,0.1374073170272544,0.17876183838570636,-4.856802788307846,-0.9035577846275245,14.277341970675911,588.2,563.8969137763492,612.5030862236509,8.263545128749028,594.1666666666667,570.7666666666667,4.01739727595286,-79.54545454545455
1599,578,571.0,578.0,571,3724,ok,42.76458901871779,15.909090909090908,0.22805706849628307,0.18381397544228403,0.14403930153409142,-4.719192184444296,-0.61275774461118,13.749607773608322,588.5,564.8652797775349,612.1347202224651,8.032190389962668,591.8666666666666,569.2666666666667,3.892748464144211,-84.0909090909091
1600,570,572.0,572.0,565,4934,ok,39.1839594201528,10.0,0.031107913266085967,0.179400585680805,0.16687395938344782,-5.3964196142561605,-1.031988139538436,13.674646996247489,588.15,563.652857309592,612.6471426904079,8.330236399016558,590.6666666666666,568.8666666666666,3.7601333869947804,-90.0
1601,570,568.0,570.0,565,5981,ok,39.1839594201528,13.157894736842104,0.05209705048289946,0.10375401074842329,0.15565619062383743,-5.731381303650551,-1.093559863146261,12.807182296622738,587.15,561.4340516411659,612.8659483588341,8.759583874251591,589.8333333333334,567.8333333333334,3.8007486323063633,-86.84210526315789
1602,577,567.0,577.0,564,2641,ok,43.94666738666378,35.13513513513514,0.5091637335886323,0.19745623244587304,0.16020360962503377,-5.043666390055364,-0.32467595964085927,12.826464066960465,586.75,560.666480298966,612.833519701034,8.890846084715465,589.0666666666666,566.4666666666666,3.911613684878559,-64.86486486486487
1603,569,569.0,575.0,558,5718,ok,40.08321966557015,28.94736842105263,0.13997646756069954,0.23374575054407756,0.17831866457945797,-5.332563082136289,-0.49085812137742746,13.44381766026442,585.5,558.5444810846788,612.4555189153212,9.207692199938942,587.3666666666667,564.9666666666667,3.8877639571883087,-71.05263157894737
1604,569,570.0,572.0,561,2014,ok,40.083219665570155,28.94736842105263,0.13997646756070023,0.26303888957001115,0.23141362418665393,-5.400625904262938,-0.4471367548032612,13.199435894237979,583.7,557.3933468492424,610.0066531507576,9.013758146567618,584.9,562.7,3.868943882886011,-71.05263157894737
