,adjclose,open,high,low,volume,other,RSI,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,WilliamR
20,1857.57,1815.95,1875.75,1814.25,136644000.0,ok,67.1074446416549,88.57178777973341,,,,10.723600930927887,,29.15923793402892,1776.7625,1711.327931803977,1842.197068196023,7.365595367532022,1806.1833333333332,1755.9313333333332,2.8214700930458507,-11.428212220266579
21,1863.64,1857.57,1864.76,1840.57,94417504.0,ok,68.15281679063975,91.77533279000278,,,,16.29860582745846,,28.662314140626034,1779.0314999999998,1705.368614019338,1852.6943859806615,8.28123459091778,1814.2279999999998,1763.1379999999997,2.8562914725527193,-8.224667209997214
22,1843.58,1863.64,1877.13,1842.18,75419696.0,ok,61.227398078066315,76.1447667804322,,,,17.521606599690358,,29.291082726563435,1781.827,1703.0022670540523,1860.6517329459477,8.847630319435922,1824.0483333333334,1772.4583333333333,2.8688950018165857,-23.855233219567804
23,1850.19,1843.58,1853.3,1835.26,35471100.0,ok,62.57685109246618,80.84470989761088,,,,18.668950180500588,,28.165974453907086,1785.514,1701.3244509098665,1869.7035490901333,9.430287199107191,1834.5703333333336,1782.0683333333334,2.9033588831471238,-19.155290102389102
24,1874.77,1850.19,1874.77,1849.52,77257696.0,ok,67.15478976066413,98.32195676905565,,,,21.732324750430962,11.445171232558494,27.874377008516376,1791.3134999999997,1699.6416464625045,1882.985353537495,10.235154654670474,1847.4833333333331,1793.3853333333332,2.971708399991721,-1.6780432309443443
25,1854.43,1874.77,1901.53,1853.58,73264704.0,ok,60.55358429194754,71.46146388754246,,,,21.053612730866007,8.61316737039483,29.881939307664744,1797.175,1705.1022877558175,1889.2477122441824,10.246382488537,1862.6063333333332,1801.9323333333334,3.311412732625903,-28.53853611245754
26,1848.96,1854.43,1856.72,1845.42,41989000.0,ok,58.87742185883413,68.1471158507029,0.7338282181404954,,,19.456759662256673,5.6130514414283965,28.02374537689827,1802.6979999999999,1712.1267223011619,1893.2692776988379,10.048413844009147,1869.284,1811.5880000000002,3.134909336700646,-31.852884149297108
27,1828.33,1848.96,1849.36,1826.15,51899600.0,ok,52.92697100050974,55.647115850702825,0.5440413325173161,,,15.580126437977015,1.3891345737189909,27.542370839208424,1807.1254999999996,1720.7286814301008,1893.5223185698985,9.561795079522577,1872.5099999999998,1816.128,3.0570633388258663,-44.352884149297175
28,1842.89,1828.33,1842.91,1820.31,31193700.0,ok,56.28495662225386,62.83903675538663,0.610351213744527,0.6294069214674461,,14.133068247414258,-0.04633889347501352,27.048133755287598,1811.7314999999999,1728.0644172792547,1895.398582720745,9.236145943341512,1875.9363333333336,1818.5943333333332,3.104156125559313,-37.16096324461336
29,1845.48,1842.89,1845.48,1837.18,72623400.0,ok,56.874296666079054,62.57095158597665,0.46283086428632764,0.5390744701827236,,13.071446084866466,-0.8863688448182465,25.173320379758835,1813.5245,1728.5879242566841,1898.4610757433159,9.367017180447892,1878.2613333333334,1822.8033333333333,2.9968673878885705,-37.42904841402334
30,1833.02,1845.48,1847.12,1831.19,105989000.0,ok,53.161227818989495,45.27081003355172,0.015385471632164537,0.36285584988767305,0.5104457471792809,10.630288883972753,-2.6620208365695675,24.248988341782933,1815.6015,1730.891470540673,1900.311529459327,9.331346053561528,1872.4963333333333,1826.1523333333334,2.5059963341566274,-54.72918996644828
31,1830.98,1833.02,1841.97,1828.8,74447000.0,ok,52.55625180503483,31.703775411423052,0.0,0.15940544530616405,0.35377858845885357,8.453432328194822,-3.8711019138780003,23.141089507604647,1818.2655,1735.1547520849438,1901.3762479150562,9.141761521082175,1869.1536666666666,1825.0136666666665,2.3897130810353167,-68.29622458857695
32,1810.75,1833.02,1833.22,1809.58,51964800.0,ok,46.861091510937705,12.12003872216843,0.0,0.005128490544054846,0.175796595245964,4.491940577825289,-6.266074931398027,23.190980556844192,1821.1615000000002,1743.5162504930277,1898.8067495069727,8.52700317978087,1864.378,1822.5,2.2717323437336376,-87.87996127783157
33,1803.13,1810.75,1812.19,1797.11,42607500.0,ok,44.88796358750276,5.765179084466774,0.0,0.0,0.054844645283406296,0.7955526867592653,-7.969970257971243,22.379882501159788,1824.2145,1754.8932517495537,1893.5357482504464,7.600120298402012,1859.8713333333333,1818.5853333333332,2.244745758411366,-94.23482091553322
34,1782.08,1803.13,1807.23,1781.32,42849900.0,ok,39.891067552428666,0.6322269361949844,0.0,0.0,0.001709496848018282,-4.118506909206417,-10.30722388314954,22.732894251043817,1826.0505,1763.5732348629917,1888.5277651370084,6.8428846997395,1852.3229999999999,1810.905,2.2612843099037185,-99.367773063805
35,1778.73,1782.08,1797.89,1778.12,68418200.0,ok,39.14424787331498,0.4942873349000299,0.0,0.0,0.0,-7.7864121382883695,-11.180103289785194,22.436604825939458,1827.3890000000004,1770.4134979311284,1884.3645020688723,6.235727813713657,1841.0116666666668,1805.2296666666666,1.962678645150942,-99.50571266509998
36,1746.06,1778.73,1778.26,1744.54,55520800.0,ok,32.712328842955316,0.9682145359576927,0.0,0.0,0.0,-13.759990762387588,-13.72294553110753,23.61194434334552,1825.8745,1762.322015083987,1889.4269849160128,6.961320169158711,1833.8456666666668,1793.5796666666665,2.2200870479668207,-99.03178546404231
37,1722.34,1746.06,1746.01,1716.7,50564500.0,ok,28.988052574846847,3.0514526862521643,0.0,0.0,0.0,-20.18567497750837,-16.11890379698265,24.18674990901096,1821.748,1744.1178057196812,1899.378194280319,8.522605133126957,1823.8293333333336,1782.3433333333335,2.300832701854363,-96.94854731374785
38,1719.25,1722.34,1742.45,1708.84,53549600.0,ok,28.53233454423929,5.402459909699559,0.0,0.0,0.0,-24.473044929258094,-16.3250189989859,25.129074918109875,1817.6064999999999,1728.2664701645444,1906.9465298354553,9.83051390226162,1813.7446666666667,1770.0566666666666,2.438081575206369,-94.59754009030044
39,1681.73,1719.25,1720.55,1675.59,65363900.0,ok,23.667030591347086,3.3898305084746294,0.0,0.0,0.0,-31.001768724807107,-18.28299423562793,27.11216742629889,1810.8955,1703.6880996071163,1918.1029003928838,11.840263603602057,1802.4016666666666,1751.3816666666667,2.871306166667447,-96.61016949152537
