,adjclose,open,high,low,volume,other,RSI,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,WilliamR
0,1832.52,1845.45,1846.12,1827.97,40494600.0,ok,,,,,,,,0.0,,,,,1853.6866666666665,1817.3866666666663,,
1,1818.26,1832.52,1832.71,1813.99,44623800.0,ok,,,,,,,,0.0,,,,,1847.03,1810.16,,
2,1787.67,1818.26,1822.12,1781.66,73344496.0,ok,,,,,,,,0.0,,,,,1843.89,1792.3366666666668,,
3,1776.45,1787.67,1805.88,1775.88,59516100.0,ok,,,,,,,,0.0,,,,,1836.935,1783.27,,
4,1758.78,1776.45,1790.65,1758.34,51459200.0,ok,,,,,,,,0.0,,,,,1829.8613333333333,1774.0053333333333,,
5,1737.2,1758.78,1759.61,1727.16,55760000.0,ok,,,,,,,,0.0,,,,,1820.513333333333,1763.15,,
6,1738.5,1737.2,1758.57,1718.27,79774304.0,ok,,,,,,,,0.0,,,,,1814.5466666666664,1753.8638095238096,,
7,1739.78,1738.5,1743.17,1716.67,40810600.0,ok,,,,,,,,0.0,,,,,1807.6916666666664,1747.9691666666668,,
8,1750.77,1739.78,1750.87,1728.51,51062200.0,ok,,,,,,,,0.0,,,,,1803.0307407407408,1744.9751851851852,,
9,1809.62,1750.77,1817.77,1750.14,72696704.0,ok,,,,,,,,32.88799999999994,,,,,1808.7416666666668,1742.9656666666665,3.703908786778807,
10,1791.48,1809.62,1821.54,1789.14,85170704.0,ok,,,,,,,,32.839199999999934,,,,,1806.685,1738.059,3.871986242165865,
11,1777.7,1791.48,1791.25,1771.25,45789700.0,ok,,,,,,,,31.578279999999943,,,,,1802.6543333333332,1733.7723333333336,3.895570670205698,
12,1752.83,1777.7,1777.7,1745.25,34177500.0,ok,,,,,,,,31.665451999999952,,,,,1797.9976666666666,1730.717666666667,3.8132857793572814,
13,1742.07,1752.83,1754.09,1740.61,32349900.0,ok,33.30541536060569,19.62147547315558,,,,,,29.84690679999996,,,,,1792.2976666666666,1728.3216666666667,3.6343605452752654,-80.37852452684443
14,1745.36,1742.07,1753.76,1736.49,32723400.0,ok,34.75977729828654,24.724233023095344,,,,,,28.589216119999964,,,,,1788.3883333333335,1727.4203333333337,3.4682205876580734,-75.27576697690466
15,1751.96,1742.07,1758.8,1743.73,,ok,37.69497735416648,33.46609767662402,,,,,,27.23729450799996,,,,,1787.6676666666667,1730.1756666666668,3.2685935416869976,-66.53390232337598
16,1776.35,1751.96,1777.97,1751.78,65635300.0,ok,47.156599073148826,56.90855344712492,,,,-10.700069533759915,,27.132565057199976,,,,,1789.282,1734.6120000000003,3.1028175081316074,-43.09144655287509
17,1804.87,1776.35,1806.13,1776.35,66891500.0,ok,55.63977817106693,84.10412892152179,,,,-4.841517689917282,,27.39730855148,,,,,1795.8676666666663,1740.5416666666667,3.1289364315669226,-15.8958710784782
18,1802.08,1804.87,1816.72,1798.92,88553504.0,ok,54.71442172513596,81.44369219033084,,,,-0.9816172129415008,,26.437577696331992,,,,,1801.664,1747.25,3.0665155594077507,-18.556307809669168
19,1815.95,1802.08,1815.95,1798.23,114906000.0,ok,58.41693874733214,94.66959092209407,,,,3.2523045294849453,,25.5658199266988,1775.5099999999998,1715.5832360292998,1835.4367639707,6.750371889845734,1798.426333333333,1753.994333333333,2.501505546171241,-5.330409077905906
20,1857.57,1815.95,1875.75,1814.25,136644000.0,ok,67.1074446416549,88.57178777973341,,,,10.723600930927889,,29.15923793402892,1776.7625,1711.327931803977,1842.197068196023,7.365595367532022,1806.1833333333327,1755.9313333333332,2.8214700930458507,-11.42821222026658
21,1863.64,1857.57,1864.76,1840.57,94417504.0,ok,68.15281679063975,91.77533279000278,,,,16.29860582745846,,28.662314140626037,1779.0314999999998,1705.368614019338,1852.6943859806613,8.28123459091778,1814.228,1763.1379999999997,2.8562914725527198,-8.224667209997214
22,1843.58,1863.64,1877.13,1842.18,75419696.0,ok,61.22739807806632,76.1447667804322,,,,17.521606599690358,,29.291082726563435,1781.827,1703.0022670540525,1860.651732945948,8.847630319435922,1824.0483333333332,1772.4583333333333,2.8688950018165857,-23.855233219567804
23,1850.19,1843.58,1853.3,1835.26,35471100.0,ok,62.57685109246618,80.84470989761088,,,,18.668950180500588,,28.165974453907086,1785.514,1701.3244509098663,1869.7035490901333,9.430287199107193,1834.5703333333336,1782.0683333333334,2.903358883147124,-19.155290102389102
24,1874.77,1850.19,1874.77,1849.52,77257696.0,ok,67.15478976066413,98.32195676905565,,,,21.73232475043096,11.445171232558494,27.874377008516376,1791.3134999999995,1699.6416464625045,1882.985353537495,10.235154654670474,1847.483333333333,1793.3853333333332,2.971708399991721,-1.6780432309443445
25,1854.43,1874.77,1901.53,1853.58,73264704.0,ok,60.55358429194754,71.46146388754246,,,,21.053612730866007,8.61316737039483,29.881939307664744,1797.175,1705.1022877558175,1889.2477122441824,10.246382488537,1862.6063333333327,1801.9323333333332,3.311412732625903,-28.53853611245754
26,1848.96,1854.43,1856.72,1845.42,41989000.0,ok,58.87742185883413,68.1471158507029,0.7338282181404954,,,19.456759662256676,5.6130514414283965,28.02374537689827,1802.698,1712.126722301162,1893.2692776988376,10.048413844009149,1869.284,1811.588,3.134909336700646,-31.852884149297108
27,1828.33,1848.96,1849.36,1826.15,51899600.0,ok,52.92697100050974,55.647115850702825,0.5440413325173161,,,15.580126437977016,1.3891345737189909,27.542370839208424,1807.1255,1720.7286814301008,1893.5223185698983,9.561795079522575,1872.51,1816.128,3.0570633388258663,-44.352884149297175
28,1842.89,1828.33,1842.91,1820.31,31193700.0,ok,56.28495662225386,62.83903675538663,0.610351213744527,0.6294069214674461,,14.133068247414258,-0.0463388934750135,27.0481337552876,1811.7315,1728.0644172792547,1895.398582720745,9.236145943341512,1875.9363333333336,1818.5943333333328,3.104156125559313,-37.16096324461336
29,1845.48,1842.89,1845.48,1837.18,72623400.0,ok,56.874296666079054,62.57095158597665,0.4628308642863276,0.5390744701827236,,13.071446084866466,-0.8863688448182465,25.173320379758835,1813.5245,1728.587924256684,1898.461075743316,9.367017180447892,1878.2613333333331,1822.8033333333333,2.9968673878885705,-37.42904841402334
30,1833.02,1845.48,1847.12,1831.19,105989000.0,ok,53.161227818989495,45.27081003355172,0.0153854716321645,0.362855849887673,0.5104457471792809,10.630288883972751,-2.6620208365695675,24.248988341782933,1815.6015,1730.891470540673,1900.311529459327,9.331346053561528,1872.4963333333333,1826.1523333333332,2.505996334156628,-54.72918996644828
31,1830.98,1833.02,1841.97,1828.8,74447000.0,ok,52.55625180503483,31.70377541142305,0.0,0.159405445306164,0.3537785884588535,8.453432328194822,-3.871101913878,23.141089507604647,1818.2655,1735.1547520849438,1901.376247915056,9.141761521082175,1869.1536666666664,1825.0136666666665,2.3897130810353167,-68.29622458857695
32,1810.75,1833.02,1833.22,1809.58,51964800.0,ok,46.861091510937705,12.12003872216843,0.0,0.0051284905440548,0.175796595245964,4.491940577825289,-6.266074931398027,23.190980556844192,1821.1615,1743.5162504930277,1898.806749506973,8.52700317978087,1864.378,1822.5,2.2717323437336376,-87.87996127783157
33,1803.13,1810.75,1812.19,1797.11,42607500.0,ok,44.88796358750276,5.765179084466774,0.0,0.0,0.0548446452834062,0.7955526867592653,-7.969970257971243,22.379882501159788,1824.2145,1754.8932517495537,1893.5357482504464,7.600120298402012,1859.8713333333333,1818.5853333333328,2.244745758411366,-94.23482091553322
