,adjclose,open,high,low,volume,other,RSI
658,340,335,345,332,4878,ok,59.908147621743765
659,336,340,349,330,2752,ok,56.5701793482651
660,330,330,330,330,100,ok,51.8989535890516
661,335,330,335,323,2294,ok,55.21755106261124
662,335,335,341,333,10804,ok,55.21755106261124
663,334,341,345,334,4803,ok,54.34782677378331
664,344,330,344,330,4199,ok,60.96852905696785
665,340,344,345,340,2555,ok,57.383642713937405
666,353,340,357,335,2828,ok,64.65708621348841
667,334,353,346,334,1351,ok,50.96596716356933
668,337,329,337,329,763,ok,52.67012763752891
669,342,337,348,340,617,ok,55.44921180214524
670,340,342,340,335,2238,ok,54.08129979418924
671,335,340,336,334,2000,ok,50.71302879478719
672,344,335,349,339,2660,ok,56.02246030459644
673,340,344,350,339,6299,ok,53.275540851800834
674,341,340,352,340,2353,ok,53.88431624750795
675,337,341,341,333,5800,ok,51.020768186481526
676,340,337,344,338,1989,ok,53.036570105752965
677,345,342,347,340,2710,ok,56.267126535714254
678,362,351,366,350,3406,ok,65.06603832804171
679,395,362,398,355,17738,ok,75.40903230158877
680,385,395,411,385,4777,ok,68.76493181185145
681,375,385,378,371,1515,ok,62.80562118461946
682,366,375,373,366,1850,ok,57.93900359189077
683,384,373,385,373,2477,ok,63.95477263717456
684,374,384,382,374,1831,ok,58.91351694192444
685,379,374,382,378,3541,ok,60.58640360577791
686,400,380,400,380,2714,ok,66.71606149071877
687,385,392,392,385,1317,ok,59.58749877783486
688,387,385,387,373,3851,ok,60.19815695511703
689,410,387,418,390,11769,ok,66.472474218521
690,440,410,447,418,9389,ok,72.55065233238976
691,442,440,456,435,7046,ok,72.90333264851799
692,450,442,455,435,4192,ok,74.32439940338247
693,472,450,495,450,15137,ok,77.7761215563329
694,450,472,465,450,4352,ok,67.93996919056579
695,437,450,445,437,3261,ok,62.87947180530008
696,440,437,440,432,1875,ok,63.5541223233858
697,420,440,433,417,5347,ok,56.21849364150824
698,402,420,436,402,4864,ok,50.56202637744151
699,394,402,410,394,1200,ok,48.23893675102451
700,409,401,409,401,400,ok,52.63334282458504
701,410,410,421,405,6662,ok,52.92030461017023
702,405,418,418,400,896,ok,51.24849382097862
703,390,394,394,388,804,ok,46.502303069815554
704,382,383,383,377,669,ok,44.15367446894791
705,399,389,403,389,2405,ok,49.93965943183456
706,400,392,406,392,725,ok,50.26607524659492
707,392,392,392,392,200,ok,47.5925106694373
708,382,385,385,382,210,ok,44.41258854602437
709,376,376,376,376,150,ok,42.57451245754107
710,376,376,383,376,545,ok,42.57451245754108
711,390,370,390,369,270,ok,48.35820119537916
712,404,390,405,390,2856,ok,53.41138089527947
713,405,413,413,405,210,ok,53.75943213737697
714,398,397,405,397,1111,ok,50.89323454508181
715,402,400,414,400,5079,ok,52.45321530657081
716,394,394,410,394,1376,ok,49.09412183856292
717,398,396,398,389,1800,ok,50.79099448701313
718,392,395,395,392,1832,ok,48.19581960982256
719,380,391,391,380,861,ok,43.4176565159486
720,401,387,401,387,1430,ok,52.32529090207313
721,393,393,393,393,10,ok,49.15084578120704
722,386,400,402,386,2365,ok,46.49296120855891
723,386,400,402,386,2365,ok,46.49296120855891
724,393,390,393,390,1700,ok,49.65064336565352
725,400,395,400,395,173,ok,52.65932754470648
726,392,392,392,392,11,ok,49.0517644050096
727,390,399,399,390,922,ok,48.16342146527832
