date,adjclose,open,high,low,volume,other,RSI
1547337600,224,224,224,224,51875,ok,
1547510400,258,235,258,235,3685,ok,
1547596800,283,258,283,258,3690,ok,
1547683200,311,283,311,283,57490,ok,
1547942400,292,326,342,280,729258,ok,
1548028800,263,292,292,263,403770,ok,
1548115200,260,263,266,237,217131,ok,
1548201600,278,260,286,255,138867,ok,
1548288000,274,278,285,270,122167,ok,
1548547200,267,274,279,261,121117,ok,
1548633600,267,267,270,266,64493,ok,
1548720000,260,267,267,258,95372,ok,
1548806400,256,260,260,256,53226,ok,
1548892800,258,256,260,253,57691,ok,
1549152000,253,258,258,251,99156,ok,50.61027784408831
1549238400,246,251,253,245,95240,ok,46.89888943556786
1549324800,243,246,248,240,104687,ok,45.36352191806306
1549411200,238,241,243,237,67848,ok,42.84588915007996
1549497600,238,236,238,233,59830,ok,42.84588915007996
1549756800,231,237,238,229,59960,ok,39.30411366821124
1549843200,232,231,237,227,61013,ok,40.06631463322204
1549929600,231,232,232,230,38083,ok,39.53170052353796
1550016000,230,230,232,229,41724,ok,38.9716915840178
1550102400,228,227,230,224,69628,ok,37.81781186747621
1550361600,226,225,231,225,45386,ok,36.649225627190965
1550448000,221,223,226,220,51862,ok,33.83442365683695
1550534400,232,223,232,219,57539,ok,44.0207479694263
1550620800,224,231,233,223,41490,ok,39.28397265671395
1550707200,225,222,228,222,32296,ok,40.1508901349718
1550966400,222,224,226,220,46222,ok,38.3804142837127
1551052800,224,220,226,220,35508,ok,40.27132547012219
1551139200,223,225,225,221,34122,ok,39.6167112061868
1551225600,224,224,228,223,26480,ok,40.65556451323042
1551571200,222,224,225,222,40964,ok,39.202883841695126
1551744000,224,222,225,221,34553,ok,41.45566858570564
1551830400,226,223,226,222,25338,ok,43.7022016327178
1551916800,230,228,231,225,47328,ok,47.99999951563336
1552089600,230,230,234,226,41255,ok,47.99999951563335
1552176000,230,230,234,226,41255,ok,47.99999951563335
1552262400,235,232,238,228,73683,ok,53.53758472103894
1552348800,245,235,246,234,94823,ok,62.20624196299536
1552435200,239,244,248,237,70458,ok,55.51376801750476
1552521600,240,240,241,235,57279,ok,56.3565309401339
1552780800,245,240,246,240,59409,ok,60.39641572143158
1552867200,242,245,248,242,36699,ok,56.98787777511308
1552953600,242,242,245,241,19638,ok,56.98787777511308
1553126400,240,242,245,238,38970,ok,54.605180216109
1553385600,239,240,242,235,41392,ok,53.40289928421227
1553472000,240,238,241,236,35260,ok,54.48218930894476
1553558400,241,237,241,237,31029,ok,55.58994816566005
1553644800,240,241,241,236,27337,ok,54.17020741643103
1553731200,240,239,241,238,24176,ok,54.17020741643103
1553990400,239,240,241,237,38545,ok,52.61185471772215
1554076800,238,239,239,236,35591,ok,51.03088679725973
1554163200,237,237,240,237,30721,ok,49.43123453005707
1554249600,235,238,240,235,41796,ok,46.30490908500448
1554336000,237,234,238,235,45323,ok,49.72892359325036
1554595200,235,236,237,234,43463,ok,46.533341786230544
1554681600,235,235,237,232,43356,ok,46.533341786230544
1554768000,233,233,236,232,19124,ok,43.30590761434868
1554854400,232,231,235,231,40755,ok,41.74681752166773
1554940800,232,232,233,230,53054,ok,41.74681752166773
1555286400,230,233,233,226,31609,ok,38.52934357345868
1555372800,230,230,234,228,31491,ok,38.52934357345868
1555459200,229,230,232,228,36025,ok,36.881050914994056
1555545600,229,231,231,227,23918,ok,36.88105091499405
1555804800,228,229,229,225,29902,ok,35.13769771450616
1555891200,230,230,235,228,39434,ok,41.13121606483882
1555977600,230,234,234,229,19172,ok,41.13121606483882
1556064000,228,228,232,227,34195,ok,37.1499841321481
1556150400,227,228,231,227,59996,ok,35.30966067927403
1556409600,237,228,244,228,89256,ok,57.81475330356196
1556496000,238,239,240,231,35542,ok,59.33815062003652
1556582400,244,239,249,233,156692,ok,67.03110156969069
1556755200,242,247,247,237,58023,ok,62.76816659442711
1557014400,236,239,241,234,33682,ok,52.06966259716353
1557100800,236,235,236,231,34550,ok,52.06966259716353
1557187200,238,238,238,233,40464,ok,55.03264495234656
1557273600,234,240,240,232,26687,ok,48.5661763847761
1557360000,234,233,240,232,22988,ok,48.56617638477609
1557619200,233,234,236,231,45907,ok,46.96610020305395
1557705600,244,232,244,231,91650,ok,61.85399219651851
1557792000,249,247,254,244,127228,ok,66.46261201821187
1557878400,246,248,254,246,59616,ok,61.64989768618947
1557964800,246,245,249,244,49168,ok,61.64989768618947
1558224000,245,246,247,243,32329,ok,59.97108329052553
1558310400,253,246,256,243,118603,ok,67.57766143556009
1558396800,278,253,278,250,186015,ok,80.22442357767221
1558483200,305,291,305,291,165900,ok,86.39613651796705
1558569600,287,320,326,275,531272,ok,70.58145061303996
1558828800,275,290,291,274,133698,ok,62.3830976992521
1558915200,276,274,284,268,71364,ok,62.77117549115003
1559001600,280,273,285,273,110919,ok,64.3552514104681
1559088000,294,284,300,280,279590,ok,69.2818233566646
1559174400,293,308,323,291,303851,ok,68.55298322143938
1559433600,286,294,296,286,118970,ok,63.51591048209729
1559520000,279,286,287,276,110084,ok,58.85848786809206
1559606400,276,280,283,275,69941,ok,56.93173747726406
1559779200,275,289,289,271,47805,ok,56.27049533819547
1560124800,269,262,275,262,33131,ok,52.34228532517214
1560211200,269,268,272,268,37850,ok,52.34228532517214
1560297600,267,274,274,265,31579,ok,50.966820114323845
1560384000,263,266,266,261,51498,ok,48.236655715834935
1560643200,259,263,272,258,47830,ok,45.60574849942097
1560729600,267,258,268,256,47123,ok,51.32393697331997
1560816000,267,267,272,262,32900,ok,51.32393697331997
1560902400,266,264,269,263,26257,ok,50.553501829722265
1560988800,269,261,272,261,35254,ok,52.84062774878227
1561248000,265,269,270,264,32079,ok,49.549695471389335
1561334400,268,265,268,264,27503,ok,51.96596826677178
1561420800,268,266,270,265,27463,ok,51.96596826677178
1561507200,265,267,270,264,30997,ok,49.23137044083581
1561593600,267,270,270,266,33763,ok,51.07960800636612
1561852800,264,272,275,264,30280,ok,48.24254793077284
1561939200,265,264,267,263,20100,ok,49.25432181683446
1562025600,266,265,266,263,27581,ok,50.30059819960789
1562112000,270,271,271,264,41945,ok,54.35464386113617
1562198400,268,270,270,267,20959,ok,52.067674514837805
1562457600,266,265,268,265,25900,ok,49.8106783127652
1562544000,265,275,275,263,27996,ok,48.6745707139846
1562630400,265,265,267,264,18532,ok,48.6745707139846
1562716800,267,265,270,264,29600,ok,51.25350212001173
1562803200,267,267,269,267,27009,ok,51.25350212001173
1563062400,270,265,271,265,36145,ok,55.17197986581797
1563148800,276,275,277,270,57744,ok,61.78789085154497
1563235200,275,275,276,272,22893,ok,60.193398672452886
1563321600,286,275,286,271,76056,ok,69.51322594225816
1563408000,283,286,289,282,40637,ok,65.04071584665482
1563667200,279,283,283,276,42178,ok,59.54003564946547
1563753600,283,283,284,280,24297,ok,62.91745722608509
1563840000,284,286,286,281,35952,ok,63.73253980864065
1563926400,283,285,285,280,21693,ok,62.258810870699655
1564012800,275,283,283,273,88967,ok,51.91612518302372
1564531200,273,272,275,271,20942,ok,49.693546279776754
1564617600,271,273,275,270,29663,ok,47.50344255393808
1564876800,268,272,272,268,24121,ok,44.34627397575547
1564963200,267,269,269,266,24786,ok,43.31290962325743
1565049600,266,266,267,264,28077,ok,42.25259581147388
1565136000,268,263,268,262,17127,ok,45.14493025859402
1565222400,267,265,267,263,32222,ok,43.95937383401815
1565481600,264,262,265,261,15225,ok,40.52139230420549
1565568000,265,264,266,262,9474,ok,42.145637469972826
1565654400,265,265,267,264,10536,ok,42.145637469972826
1565740800,265,265,265,263,21939,ok,42.14563746997283
1565827200,261,262,263,261,10089,ok,37.08604690791567
1566086400,258,261,263,258,18383,ok,33.80791048468544
1566172800,258,258,263,256,19292,ok,33.80791048468544
1566259200,253,258,259,253,27337,ok,28.87448237692874
1566345600,255,254,259,254,20215,ok,33.08101711889725
1566432000,255,255,258,252,16248,ok,33.08101711889725
1566691200,250,251,254,248,44153,ok,28.238701070461858
1566777600,249,247,253,247,20410,ok,27.375617439871547
1566864000,252,249,253,246,18837,ok,33.90240886256535
1566950400,248,250,254,248,12493,ok,30.027512768663385
1567036800,248,246,249,244,14411,ok,30.027512768663385
1567296000,246,245,248,243,20049,ok,28.161056498601223
1567382400,242,245,246,241,28134,ok,24.836028630158623
1567468800,245,246,247,238,28471,ok,31.380022224985524
1567555200,248,247,254,243,13544,ok,37.26231107823845
1567641600,245,249,249,245,17146,ok,34.1131008356319
1567900800,244,257,257,243,16010,ok,33.10863185070883
1567987200,241,246,248,241,18711,ok,30.23258138499918
1568073600,240,241,245,238,12852,ok,29.318345723129383
1568160000,239,242,242,238,13161,ok,28.39367064833725
1568246400,237,239,242,236,15828,ok,26.587565848091543
1568505600,235,238,238,232,17007,ok,24.88301819542933
1568592000,231,235,236,230,23812,ok,21.863944197725445
1568678400,246,230,248,230,20706,ok,47.55931970305275
1568764800,245,246,253,243,57003,ok,46.46234149379942
1568851200,244,244,248,239,37217,ok,45.33620201140357
1569110400,235,244,244,234,13829,ok,36.7118808548538
1569196800,238,235,238,231,15625,ok,40.7574267171105
1569283200,232,234,237,231,11149,ok,35.82504815307759
1569456000,231,234,234,231,20704,ok,35.06342967536084
1569715200,229,230,232,229,25295,ok,33.52819239411707
1569801600,237,228,238,228,21039,ok,44.07603711951818
1569888000,237,236,241,234,14322,ok,44.07603711951819
1569974400,236,240,240,234,4799,ok,43.08490676703138
1570060800,238,238,238,234,5544,ok,45.71414302818663
1570665600,236,235,236,234,2606,ok,43.547677215447486
1571011200,236,235,237,234,4315,ok,43.54767721544749
1571097600,235,234,238,233,6431,ok,42.38293019701143
1571184000,238,235,238,232,14594,ok,46.96571309812695
1571270400,237,238,238,233,7827,ok,45.66195783832924
1571529600,236,237,237,233,11075,ok,44.33651385512584
1571616000,236,234,236,232,11557,ok,44.33651385512584
1571702400,235,236,238,233,17061,ok,42.89254433881258
1571788800,239,235,241,235,18302,ok,49.91868558879676
1571875200,238,238,240,236,13922,ok,48.31817240359122
1572480000,236,238,238,235,10571,ok,45.19698222201627
1572739200,235,235,237,234,9055,ok,43.67774825587421
1572825600,236,235,236,234,8076,ok,45.64534742675032
1572912000,237,235,237,234,6068,ok,47.61613074974022
1572998400,236,235,236,235,3970,ok,45.82673756689801
1573084800,234,236,238,233,11796,ok,42.39524176684725
1573344000,231,230,234,231,12800,ok,37.82048914358903
1573430400,233,231,236,230,20461,ok,42.29128965425117
1573516800,233,233,236,230,8130,ok,42.29128965425117
1573603200,231,230,232,230,12774,ok,39.03611741612031
1573689600,231,231,232,230,11056,ok,39.03611741612029
1573948800,228,231,233,226,19706,ok,34.4263908533066
1574035200,228,228,228,226,12226,ok,34.4263908533066
1574121600,227,225,227,225,11856,ok,32.923383444499706
1574208000,227,225,229,225,9077,ok,32.923383444499706
1574294400,223,226,229,223,30761,ok,27.37832785670044
1574553600,223,225,225,222,10652,ok,27.37832785670044
1574640000,226,225,228,221,13017,ok,36.65783625017543
1574726400,226,226,226,223,15021,ok,36.65783625017542
1574812800,226,223,226,222,7755,ok,36.65783625017543
1574899200,224,225,226,223,12262,ok,33.13268212781679
