date,adjclose,open,high,low,volume,other,RSI
1325462400,226,230,226,226,50,ok,
1326326400,213,226,222,213,648,ok,
1326844800,200,213,209,200,239,ok,
1327190400,196,200,196,196,500,ok,
1327276800,196,196,199,196,180,ok,
1327536000,191,196,194,191,246,ok,
1328140800,191,191,191,191,123,ok,
1328745600,194,191,194,194,500,ok,
1329004800,188,194,191,188,925,ok,
1330387200,191,188,191,191,49,ok,
1330560000,204,191,204,194,90,ok,
1330819200,208,204,208,208,20,ok,
1330905600,204,208,212,204,130,ok,
1330992000,205,204,207,205,401,ok,
1331424000,205,205,205,205,10,ok,44.59220749570036
1331510400,202,205,204,202,359,ok,41.227621510759
1331596800,199,202,199,199,200,ok,38.129368006244405
1331683200,200,199,202,200,207,ok,39.75460228481602
1332028800,204,200,204,204,1000,ok,45.87872792420831
1332806400,199,204,200,199,1750,ok,40.35634252700864
1332979200,200,199,200,200,60,ok,41.86356858278222
1333238400,202,200,202,202,130,ok,44.864526553591766
1334448000,206,202,206,206,40,ok,50.38114515012137
1334707200,210,206,210,136,2502,ok,55.2076262769297
1335916800,214,210,214,214,50,ok,59.45487064370415
1336348800,224,214,224,224,10,ok,67.70049778049565
1336435200,228,224,228,228,40,ok,70.3021799913407
1336521600,232,228,232,232,2844,ok,72.67268091737446
1336867200,240,232,240,236,1060,ok,76.68161335129389
1336953600,257,240,257,244,120,ok,82.54243993990708
1337126400,262,257,267,262,1025,ok,83.82974920347473
1337212800,287,262,287,267,1479,ok,88.42549852649684
1337472000,297,287,297,292,41,ok,89.68798772770451
1337558400,295,297,302,292,3189,ok,87.62930498628378
1337644800,280,295,290,280,150,ok,73.92405738912214
1337731200,280,280,280,275,78,ok,73.92405738912214
1337817600,285,280,285,285,20,ok,75.41078141014407
1338249600,257,285,280,257,2159,ok,56.11567283420244
1338336000,251,257,252,247,490,ok,52.98699409310434
1338768000,256,251,256,256,20,ok,55.22723218235252
1338854400,252,256,255,251,595,ok,53.04936679906784
1338940800,250,252,250,249,467,ok,51.94633668990423
1339027200,255,250,260,255,45,ok,54.49376938445913
1339286400,260,255,260,259,59,ok,56.951417795566535
1339372800,270,260,270,265,470,ok,61.437143977210575
1339459200,270,270,270,265,2669,ok,61.437143977210575
1339545600,290,270,290,271,140,ok,68.9434529618696
1339632000,275,290,285,270,365,ok,59.57687573924078
1339891200,270,275,271,270,2196,ok,56.80643508454612
1339977600,275,270,275,270,2957,ok,58.86636705788996
1340668800,265,275,270,265,118,ok,53.38295229881032
1340755200,265,265,265,261,221,ok,53.38295229881032
1340841600,270,265,270,270,1218,ok,55.77197762752675
1341100800,270,270,270,270,67,ok,55.77197762752675
1341187200,271,270,271,271,48,ok,56.29154374150606
1341273600,276,271,276,276,10,ok,58.8918579800891
1341360000,280,276,280,280,450,ok,60.8961217173891
1341792000,275,280,275,275,146,ok,57.14549602862628
1341964800,280,275,280,280,18,ok,59.81115333101239
1342051200,280,280,280,275,503,ok,59.81115333101239
1342396800,285,280,285,285,25,ok,62.51530584110542
1342483200,295,285,295,285,2339,ok,67.26010276403288
1342569600,300,295,300,299,1517,ok,69.34920677832548
1342656000,305,300,305,300,519,ok,71.32002344790206
1342915200,329,305,329,311,665,ok,78.47457187305996
1343001600,334,329,335,334,100,ok,79.61547178364356
1343088000,327,334,328,327,94,ok,73.72408095369377
1343174400,321,327,325,321,115,ok,69.01027182373497
1343260800,323,321,333,314,4614,ok,69.70559778011264
1343520000,318,323,318,317,143,ok,65.73468840507346
1343606400,315,318,315,312,694,ok,63.40094043458089
1343692800,321,315,321,321,100,ok,66.00076013936686
1343779200,325,321,325,320,424,ok,67.65056807380088
1344124800,325,325,325,324,325,ok,67.65056807380088
1344211200,327,325,327,324,2400,ok,68.535925259913
1344297600,325,327,326,325,400,ok,66.57374224693545
1344729600,325,325,327,325,630,ok,66.57374224693545
1344902400,319,325,331,319,440,ok,60.54293657074488
1344988800,313,319,313,313,95,ok,55.161557694080905
1345334400,319,313,319,319,100,ok,59.07865755530601
1345507200,342,319,342,325,408,ok,69.92495814533778
1345680000,336,342,336,336,24,ok,65.07898885157016
1346025600,329,336,330,320,324,ok,59.86629413599826
1346112000,323,329,323,323,200,ok,55.74471990736938
1346284800,316,323,322,316,630,ok,51.3067276534796
1346544000,326,316,326,320,1814,ok,56.619966384474175
1346630400,336,326,338,325,2486,ok,61.18152745971704
1346716800,330,336,342,330,301,ok,57.28900755188861
1346803200,328,330,328,318,987,ok,56.00980874591927
1346889600,321,328,322,315,1151,ok,51.661812936737405
1347235200,327,321,327,321,603,ok,54.89400519983678
1347321600,325,327,325,316,2656,ok,53.60725620940031
1347408000,343,325,343,331,472,ok,62.19606795439339
1347494400,337,343,343,337,130,ok,58.32022940969162
1347840000,357,337,361,343,3015,ok,65.93955445632194
1347926400,392,357,392,364,1922,ok,74.66720011950261
1348012800,383,392,414,376,1385,ok,69.71995926477325
1348099200,377,383,377,370,292,ok,66.55403164880218
1348358400,369,377,377,369,2065,ok,62.48014179345106
1348531200,365,369,365,362,484,ok,60.48649587799196
1348617600,369,365,369,369,300,ok,61.799189226526266
1348704000,372,369,372,372,20,ok,62.79743296334248
1348963200,365,372,366,365,350,ok,58.928001198263125
1349049600,366,365,366,366,100,ok,59.31369283204344
1349308800,359,366,359,359,48,ok,55.3924167796546
1349568000,359,359,361,359,170,ok,55.3924167796546
1349654400,353,359,359,348,1060,ok,51.97653852261819
1349740800,350,353,360,350,1650,ok,50.30611150080233
1349827200,357,350,357,350,2225,ok,54.01938072484799
1349913600,360,357,360,360,200,ok,55.55227052963161
1350259200,377,360,377,367,931,ok,63.06627689412831
1350518400,370,377,370,370,200,ok,58.66824026817992
1351641600,384,370,384,377,20,ok,64.06565792303638
1351987200,380,384,391,380,1259,ok,61.5908857831166
1352073600,385,380,386,385,480,ok,63.48944047613536
1352160000,390,385,390,390,40,ok,65.33474442388581
1352332800,394,390,402,394,40,ok,66.78120935948421
1352592000,380,394,387,380,400,ok,57.70544835059025
1353369600,397,380,397,386,540,ok,64.08774538026194
1353801600,404,397,404,397,864,ok,66.34011186807714
1353888000,385,404,404,385,8775,ok,56.06216246542305
1353974400,378,385,378,371,405,ok,52.81561512173964
1354147200,381,378,392,380,1526,ok,54.04391061504072
1354406400,395,381,417,388,2844,ok,59.3606219113345
1354492800,393,395,400,393,1031,ok,58.32256005038262
1354579200,400,393,400,387,1325,ok,60.89980915623743
1354665600,400,400,408,400,1200,ok,60.89980915623743
1354752000,401,400,401,390,4792,ok,61.29634158314092
1355011200,392,401,400,385,1789,ok,55.8105037391508
1355184000,390,392,390,390,100,ok,54.640215120509886
1355356800,266,390,266,266,50,ok,22.76598030692197
1355616000,274,266,275,270,900,ok,25.774371016744794
1355702400,289,274,289,279,500,ok,31.18669715952558
1355788800,275,289,284,270,2600,ok,29.05707102644915
1355875200,280,275,280,280,200,ok,30.87263126378636
1355961600,275,280,280,275,300,ok,30.044589010227213
1356220800,272,275,274,272,2220,ok,29.532767037784254
1356307200,272,272,272,272,147,ok,29.532767037784254
1356480000,272,272,272,272,100,ok,29.532767037784254
1357171200,277,272,277,267,764,ok,31.94605294746576
1357430400,272,277,272,272,375,ok,30.80974928506313
1357516800,270,272,272,270,130,ok,30.34479939980686
1359590400,265,270,265,265,200,ok,29.160038361571083
1359936000,265,265,270,260,1329,ok,29.160038361571083
1360108800,255,265,265,255,1100,ok,26.738543243808607
1360713600,260,255,260,260,100,ok,29.87419658969577
1360800000,255,260,255,255,130,ok,28.55787192435132
1361750400,256,255,260,256,30,ok,29.229507483908705
1361836800,250,256,255,250,279,ok,27.555623059875657
1361923200,253,250,253,253,360,ok,29.722697073065035
1362614400,250,253,250,250,150,ok,28.795073167074165
1362960000,245,250,245,245,200,ok,27.267631723819136
1363132800,233,245,241,231,832,ok,23.9799445781521
1363219200,230,233,237,230,825,ok,23.225995367325552
1363478400,228,230,235,228,1350,ok,22.713290551547374
1363564800,225,228,225,225,20,ok,21.93124458160809
1363737600,223,225,225,221,492,ok,21.402185975073664
1363824000,223,223,225,223,250,ok,21.402185975073664
1364342400,227,223,227,227,20,ok,25.56708880233225
1364428800,225,227,225,225,210,ok,24.85781797594646
1364688000,222,225,222,222,200,ok,23.79163663495125
1364774400,220,222,220,218,448,ok,23.080891210460635
1364860800,224,220,224,224,1000,ok,27.730933255006
1364947200,224,224,225,224,1680,ok,27.730933255006
1365033600,224,224,224,220,1273,ok,27.730933255006
1365292800,222,224,225,221,830,ok,26.7221047331104
1365379200,218,222,218,218,250,ok,24.78043039516764
1365638400,214,218,221,214,3937,ok,22.98205914766683
1365984000,210,214,215,210,1400,ok,21.31610501612758
1366243200,206,210,210,206,2530,ok,19.77255212899493
1367107200,200,206,203,200,2239,ok,17.7018899882664
1367280000,202,200,202,202,142,ok,20.683649847201167
1368316800,206,202,206,206,3069,ok,26.425168221732847
1368403200,210,206,210,210,50,ok,31.745969319050616
1368576000,210,210,210,210,190,ok,31.745969319050616
1369267200,210,210,210,210,40,ok,31.745969319050616
1369872000,206,210,206,206,96,ok,29.116095387347585
1370131200,207,206,207,207,150,ok,30.66255598227511
1370217600,206,207,206,206,210,ok,29.95867614106865
1370304000,205,206,205,205,240,ok,29.235920274445107
1370476800,209,205,209,209,50,ok,35.89765867445449
1370736000,213,209,213,213,200,ok,41.7982487821364
1370822400,214,213,214,210,531,ok,43.20575580661109
1371427200,218,214,218,218,10,ok,48.564043344424455
1371686400,222,218,222,220,110,ok,53.3080807021742
1371945600,222,222,222,222,300,ok,53.3080807021742
1372032000,230,222,230,225,716,ok,61.53670333084056
1372118400,238,230,238,234,650,ok,67.67215878310898
1372204800,238,238,240,234,671,ok,67.67215878310898
1372291200,240,238,244,240,1550,ok,69.10122055666947
1372723200,236,240,240,236,147,ok,63.09395628900436
1372809600,234,236,235,234,785,ok,60.27255221805132
1372896000,230,234,230,230,50,ok,54.97742274067864
1373241600,226,230,230,226,791,ok,50.22553415266556
1373500800,225,226,226,225,1150,ok,49.08333809794248
1374019200,220,225,222,220,400,ok,43.72862066887028
1374105600,226,220,226,224,400,ok,50.68169031728376
1374364800,230,226,230,227,599,ok,54.70031651237058
1374451200,230,230,230,230,466,ok,54.70031651237058
1374537600,225,230,230,224,2112,ok,48.92138495929993
1374624000,225,225,225,222,275,ok,48.92138495929992
