Date,No of Transactions,high,low,adjclose,volume,Total Amount,open,Difference Rs.,% Change,adjclose_3,true_adjclose_3,buy_profit,sell_profit
2020-01-08,117,725.0,715,721.0,17879,12888985,722.0,-1.0,-0.14,688.55304,730.0,-32.44696044921875,0.0
2020-01-09,78,723.0,711,716.0,9624,6898033,721.0,-5.0,-0.69,693.6029,730.0,-22.3970947265625,0.0
2020-01-12,161,728.0,720,726.0,30359,22021006,716.0,10.0,1.4,698.9419,740.0,-27.05810546875,0.0
2020-01-13,191,749.0,726,730.0,40571,29778694,726.0,4.0,0.55,705.1469,751.0,-24.85308837890625,0.0
2020-01-14,99,735.0,716,730.0,12535,9134077,730.0,0.0,0.0,709.9969,764.0,-20.00311279296875,0.0
2020-01-15,75,743.0,733,740.0,11175,8250209,730.0,10.0,1.37,714.5437,761.0,-25.456298828125,0.0
2020-01-16,182,759.0,740,751.0,26914,20279439,740.0,11.0,1.49,720.02277,755.0,-30.97723388671875,0.0
2020-01-19,176,766.0,757,764.0,22863,17437789,751.0,13.0,1.73,726.6215,745.0,0.0,37.37847900390625
2020-01-20,180,780.0,755,761.0,25615,19608879,764.0,-3.0,-0.39,733.69446,727.0,0.0,27.3055419921875
2020-01-21,129,767.0,749,755.0,18428,13899962,761.0,-6.0,-0.79,739.4324,712.0,0.0,15.567626953125
2020-01-22,91,756.0,745,745.0,12755,9571027,755.0,-10.0,-1.32,742.9001,720.0,0.0,2.09991455078125
2020-01-23,146,745.0,722,727.0,19663,14402288,745.0,-18.0,-2.42,743.32245,725.0,0.0,-16.32244873046875
2020-01-26,192,727.0,709,712.0,20914,14935615,727.0,-15.0,-2.06,740.4341,724.0,28.43408203125,0.0
2020-01-27,119,729.0,706,720.0,17628,12688880,712.0,8.0,1.12,735.834,736.0,15.833984375,0.0
2020-01-28,101,735.0,725,725.0,15203,11093084,720.0,5.0,0.69,731.59326,752.0,6.59326171875,0.0
2020-01-29,83,732.0,721,724.0,10541,7633236,725.0,-1.0,-0.14,727.74835,738.0,3.74835205078125,0.0
2020-01-30,113,737.0,724,736.0,14728,10794169,724.0,12.0,1.66,725.1949,739.0,-10.80511474609375,0.0
2020-02-02,176,754.0,740,752.0,37634,28186301,736.0,16.0,2.17,725.808,734.0,0.0,26.1920166015625
2020-02-03,205,758.0,733,738.0,33172,24608597,752.0,-14.0,-1.86,727.75,726.0,0.0,10.25
2020-02-04,148,744.0,732,739.0,27241,20084904,738.0,1.0,0.14,729.504,721.0,0.0,9.4959716796875
2020-02-05,83,739.0,734,734.0,20827,15333803,739.0,-5.0,-0.68,730.5919,720.0,0.0,3.4080810546875
2020-02-06,119,740.0,726,726.0,15362,11219692,734.0,-8.0,-1.09,730.4976,723.0,0.0,-4.49761962890625
2020-02-09,115,732.0,720,721.0,18422,13329862,726.0,-5.0,-0.69,729.1662,722.0,8.16619873046875,0.0
2020-02-10,148,727.0,716,720.0,23380,16839330,721.0,-1.0,-0.14,727.06274,723.0,7.062744140625,0.0
2020-02-11,151,730.0,715,723.0,27491,19884891,720.0,3.0,0.42,724.98047,724.0,1.98046875,0.0
2020-02-12,89,729.0,721,722.0,11735,8502428,723.0,-1.0,-0.14,722.83466,750.0,0.83465576171875,0.0
2020-02-13,118,727.0,721,723.0,16258,11739379,722.0,1.0,0.14,720.9681,753.0,-2.03192138671875,0.0
2020-02-16,143,726.0,719,724.0,17985,12980031,723.0,1.0,0.14,719.4693,751.0,-4.53070068359375,0.0
2020-02-17,237,757.0,728,750.0,51893,38522632,724.0,26.0,3.59,721.0862,755.0,-28.913818359375,0.0
2020-02-18,242,765.0,744,753.0,47604,35781874,750.0,3.0,0.4,725.3554,790.0,-27.64459228515625,0.0
2020-02-19,124,753.0,746,751.0,23379,17521598,753.0,-2.0,-0.27,729.8304,800.0,-21.16961669921875,0.0
2020-02-20,145,755.0,746,755.0,21585,16200829,751.0,4.0,0.53,734.0948,814.0,-20.90521240234375,0.0
2020-02-23,376,804.0,758,790.0,65129,51428772,755.0,35.0,4.64,741.6618,870.0,-48.33819580078125,0.0
2020-02-24,440,821.0,791,800.0,93540,75251218,790.0,10.0,1.27,753.29767,955.0,-46.70233154296875,0.0
2020-02-25,236,814.0,779,814.0,37640,30262975,800.0,14.0,1.75,764.81775,940.0000000000001,-49.1822509765625,0.0
2020-02-26,448,875.0,828,870.0,83212,70799650,814.0,56.0,6.88,781.127,850.0,0.0,88.87298583984375
2020-02-27,788,955.0,845,955.0,167082,153067578,870.0,85.0,9.77,806.84686,888.0,0.0,148.15313720703125
2020-03-01,952,1000.0,936,940.0,163043,157426240,955.0,-15.0,-1.57,839.36005,847.0,0.0,100.63995361328125
2020-03-02,478,939.0,850,850.0,68203,61903748,940.0,-90.0,-9.57,863.24335,840.0,0.0,-13.24334716796875
2020-03-03,807,910.0,815,888.0,150206,130046377,850.0,38.0,4.47,880.23584,776.0,0.0,7.76416015625
2020-03-04,662,888.0,838,847.0,107177,91614291,888.0,-41.0,-4.62,890.0434,815.0,0.0,-43.04339599609375
2020-03-05,440,852.0,813,840.0,78904,65853297,847.0,-7.0,-0.83,891.9426,790.0,0.0,-51.942626953125
2020-03-10,264,824.0,776,776.0,60824,48387865,840.0,-64.0,-7.62,885.0546,750.0,0.0,-109.05462646484375
2020-03-11,513,822.0,766,815.0,83501,66473957,776.0,39.0,5.03,874.3433,750.0,0.0,-59.34332275390625
2020-03-12,469,831.0,784,790.0,65403,52330864,815.0,-25.0,-3.07,862.57117,731.0,0.0,-72.5711669921875
2020-03-15,527,787.0,748,750.0,70304,53590197,790.0,-40.0,-5.06,847.8453,715.0,0.0,-97.84527587890625
2020-03-16,365,764.0,723,750.0,55501,41379236,750.0,0.0,0.0,830.5638,730.0,0.0,-80.56378173828125
