,adjclose,open,high,low,volume,other,RSI,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,WilliamR,adjclose_3,true_adjclose_3,buy_profit,sell_profit
575.0,2202.09,2305.05,2305.05,2202.09,109248000.0,ok,39.95236818201896,1.974251570777405,0.0,0.0213607050605822,0.0142404700403882,-30.149572542053196,-86.31788583889899,109.76629467066768,2482.4495,2086.590060831229,2878.3089391687704,31.892647900291283,2672.460666666667,2431.634666666667,9.436579227948068,-98.0257484292226,2373.0864,2136.32,0.0,-170.99642578124985
584.0,2032.25,2045.96,2045.96,2032.25,5073400.0,ok,35.85778277759873,6.0422416896675815,0.0,0.0176566973360458,0.0154391038492462,-103.5163427770558,-30.941188404221805,91.3939165914082,2360.138,1812.2719673387176,2908.004032661282,46.42661002545463,2223.1310000000003,2050.767,8.065892073231533,-93.95775831033242,2449.1602,2046.6199999999997,416.91015625,0.0
586.0,1968.92,2007.38,2007.38,1963.98,30671500.0,ok,32.9810872155427,1.127287663730559,0.0,4.440892098500626e-16,0.0081031592654816,-105.5110948567858,-21.381240637730684,80.61647243904065,2288.0905,1753.341339608875,2822.8396603911247,46.74195888590289,2155.413333333333,2013.9993333333337,6.78340146709709,-98.87271233626944,2442.8152,2076.59,473.8951855468749,0.0
590.0,2086.42,2076.23,2106.68,2065.11,87779300.0,ok,43.64671381192296,33.41703056768559,0.7670290352392776,0.8236911947770773,0.6786788100106432,-58.67052391510788,17.64558888987773,79.27836956725449,2156.74,1875.0449301815647,2438.4350698184357,26.122302161450616,2113.9263333333333,1989.8943333333336,6.044708581320384,-66.5829694323144,2433.5977,2236.96,347.1776562499999,0.0
597.0,2448.78,2387.01,2448.78,2387.01,267667000.0,ok,64.89770758822281,100.0,1.0,1.0000000000000004,0.9963470191930864,55.63205888896982,55.574730392858605,73.16399054407215,2148.2200000000003,1892.9215689041296,2403.5184310958707,23.768369263471197,2295.343333333333,2157.335333333333,6.198875343650809,-0.0,2444.1255,2537.85,-4.6545117187502,0.0
604.0,2456.78,2434.28,2456.15,2408.18,205974000.0,ok,60.853247516375866,69.1190809651285,0.5885394339041179,0.625466365729627,0.6927658180200457,65.89744320990621,8.550478457519823,70.84645367285906,2280.2775,1931.739492782692,2628.815507217308,30.56978873995011,2500.453666666667,2370.7516666666666,5.3252528327006905,-30.880919034871503,2459.2822,2488.67,2.5022265624998,0.0
614.0,2433.89,2365.53,2433.89,2364.13,201950000.0,ok,55.69363887497894,37.96858770576935,0.4976464490562701,0.1880841467696939,0.08650927328137,8.536565996282661,-18.592765966697016,59.29799853902041,2431.3555,2328.263509530269,2534.4474904697317,8.480207067187925,2470.224,2376.458,3.8692862457243793,-62.03141229423065,2422.565,2377.61,0.0,11.325058593749873
615.0,2412.32,2433.89,2439.08,2403.3,151794000.0,ok,53.54601969865604,46.43074759784391,0.3575980865262416,0.3072835089451077,0.1807301635980482,8.31414706877149,-15.05214791536655,56.94619868511835,2435.347,2342.170700202192,2528.5232997978087,7.651993723917659,2464.878,2370.064,3.922032570401045,-53.56925240215609,2410.2634,2348.39,0.0,2.0565722656251637
616.0,2405.58,2411.67,2415.68,2396.32,113177000.0,ok,52.86009872378865,43.27161940473389,0.3128685039194903,0.3893710131673344,0.2949128896273785,7.206199487559388,-12.928076397262924,53.18757881660648,2436.434,2345.1995919293,2527.6684080707005,7.489175415439144,2452.756,2362.8140000000003,3.735466414152407,-56.72838059526611,2399.6292,2356.02,0.0,5.950849609374927
619.0,2356.02,2348.8,2356.02,2328.27,94913800.0,ok,47.96703873745325,20.04218420435893,0.0516402670440824,0.0592851393187048,0.1570689793494888,-6.285156938901764,-15.265254872537676,48.65892495730613,2423.8735,2318.1367914688035,2529.610208531197,8.724606175297238,2422.514,2335.754,3.646705061589646,-79.95781579564107,2367.7842,2355.56,0.0,-11.764179687500018
625.0,2454.98,2445.54,2457.73,2427.37,210682000.0,ok,58.90973969006097,98.09649062089017,1.0,0.8255375321380344,0.5218581165787037,7.748804846083203,7.189551389336452,41.19081743823574,2400.8,2308.133333932791,2493.466666067209,7.719648955948767,2412.3106666666667,2348.908666666667,2.663267350702443,-1.9035093791098523,2358.1455,2474.98,-96.83449218750002,0.0
633.0,2499.18,2501.9,2506.95,2484.05,259329000.0,ok,61.2754373166359,77.26511719519397,0.8943721111309072,0.9267625793462392,0.941802676379997,28.61929392041793,5.8526138179948894,37.41669384895662,2430.452,2314.791375654412,2546.1126243455883,9.517622594117316,2515.054333333333,2445.5203333333334,2.80346551246348,-22.73488280480603,2428.5715,2607.51,-70.60846679687484,0.0
634.0,2518.34,2499.18,2527.7,2489.74,177765000.0,ok,63.59495141129218,86.69982272995874,1.0,0.9267625793462392,0.9356040027794144,29.373437252064377,5.285405719713069,37.47102446406096,2434.6745,2312.8198401013683,2556.529159898632,10.009934379206072,2522.904333333333,2456.7243333333336,2.658029521076714,-13.300177270041251,2440.6125,2615.71,-77.72745117187515,0.0
656.0,2541.44,2540.51,2547.15,2531.14,130683000.0,ok,51.409186087374216,20.499359795134627,0.0188421504241141,0.0062807168080384,0.0669440949324722,-1.3175720597155305,-7.05803093843608,22.53266555007925,2568.222,2521.9310623986785,2614.512937601322,3.604901570138541,2566.2366666666667,2532.180666666666,1.3359439909849165,-79.50064020486538,2561.305,2522.81,0.0,-19.864931640624945
657.0,2532.51,2541.66,2543.83,2518.92,121494000.0,ok,48.71661282596883,19.903339191564434,0.0,0.0062807168080384,0.0195594836227446,-2.909553189023427,-6.920009654195181,22.77039899507131,2564.062,2520.729842610718,2607.3941573892816,3.3799617473588195,2564.0613333333336,2527.2473333333337,1.4461507800941231,-80.09666080843556,2561.6995,2517.49,0.0,-29.18946289062478
658.0,2536.44,2540.36,2541.08,2525.13,115929000.0,ok,49.95878116212884,26.97874961502921,0.1094173391387638,0.0427531631876264,0.0184381989345675,-3.5016746317787693,-6.009704877560419,22.08835909556416,2561.2585000000004,2518.3985577344124,2604.1184422655883,3.346787703434695,2561.8769999999995,2524.725,1.460778728117497,-73.0212503849708,2561.954,2515.89,0.0,-25.514101562499945
