date,adjclose,open,high,low,volume,other,RSI,stoch,stochsignal,rsidata,rsidata_k,rsidata_d,macd,macddiff,macdsignal,adjclose_5,true_adjclose_5,buy_profit,sell_profit
2020-07-05,2086.42,2076.23,2106.68,2065.11,87779300.0,ok,43.64671381,33.41703057,38.11135371,0.767029035,0.823691195,0.67867881,-58.67052392,17.64558889,-76.3161128,2014.2076,2332.49,-72.21235839843757,0.0
2020-07-06,2170.53,2086.42,2170.53,2066.9,97950700.0,ok,49.40076587,85.21742718,49.78954268,1.0,0.826088682,0.791497332,-42.1094904,27.36529792,-69.47478832,2029.4235,2383.84,-141.1065380859377,0.0
2020-07-07,2247.09,2175.92,2274.97,2175.92,186976000.0,ok,54.00448674,91.03508151,69.88984642,1.0,0.922343012,0.857374296,-21.11347982,38.68904681,-59.80252662,2067.114,2448.78,-179.97598632812515,0.0
2020-07-08,2236.96,2247.39,2264.12,2216.87,131787000.0,ok,53.31330407,87.77774205,88.01008358,0.967123173,0.989041058,0.912490917,-7.201954479,42.08045772,-49.28241219,2110.048,2438.99,-126.91190429687504,0.0
2020-07-09,2249.85,2237.03,2251.91,2215.4,160229000.0,ok,54.11800308,91.92256986,90.24513114,1.0,0.989041058,0.966808376,4.025938458,42.64668052,-38.62074206,2153.0144,2445.46,-96.83559570312491,0.0
2020-07-12,2332.49,2268.98,2332.49,2266.41,207551000.0,ok,58.99747682,100.0,93.2334373,1.0,0.989041058,0.989041058,20.87124868,47.59359259,-26.72234392,2201.942,2537.85,-130.54810546874978,0.0
2020-07-13,2383.84,2333.08,2383.84,2333.08,218402000.0,ok,61.72155626,100.0,97.30752329,1.0,1.0,0.992694038,37.70760515,51.54395926,-13.8363541,2252.2883,2450.46,-131.55166992187515,0.0
2020-07-14,2448.78,2387.01,2448.78,2387.01,267667000.0,ok,64.89770759,100.0,100.0,1.0,1.0,0.996347019,55.63205889,55.57473039,0.057328496,2302.3135,2443.44,0.0,146.4665234375002
2020-07-15,2438.99,2456.92,2475.3,2430.76,198505000.0,ok,64.03508663,92.89877181,97.63292394,0.972972672,0.990990891,0.996996964,65.56286496,52.40442917,13.15843579,2339.2292,2428.34,0.0,99.76075195312478
2020-07-16,2445.46,2445.69,2458.5,2437.69,145754000.0,ok,64.37213076,94.16412423,95.68763201,0.983532817,0.98550183,0.99216424,71.52866014,46.69617948,24.83248066,2363.664,2456.78,-81.79593750000004,0.0
2020-07-19,2537.85,2458.21,2537.85,2458.21,7776150.0,ok,68.85992356,100.0,95.68763201,1.0,0.98550183,0.987331517,84.15257631,47.45607652,36.69649979,2378.0635,2486.2,0.0,159.7865234374999
2020-07-20,2450.46,2611.47,2630.97,2446.95,242962000.0,ok,61.02919701,68.57361723,87.57924715,0.697857823,0.89379688,0.954933513,81.09238067,35.5167047,45.57567596,2406.9944,2498.66,-43.465615234375036,0.0
2020-07-21,2443.44,2459.75,2479.66,2437.43,185619000.0,ok,60.43465625,66.85929382,78.47763702,0.674917955,0.790925259,0.890074656,76.19440885,24.49498631,51.69942254,2419.4983,2488.67,-23.941708984375055,0.0
2020-07-22,2428.34,2453.24,2471.54,2420.85,293341000.0,ok,59.10094167,64.19078924,66.54123343,0.612941709,0.661905829,0.782209323,69.24903552,14.03969039,55.20934514,2432.8088,2432.99,4.4688378906248545,0.0
2020-07-23,2456.78,2434.28,2456.15,2408.18,205974000.0,ok,60.85324752,69.11908097,66.72305467,0.588539434,0.625466366,0.692765818,65.89744321,8.550478458,57.34696475,2437.7034,2448.0,0.0,19.0766308593752
2020-07-26,2486.2,2460.42,2487.57,2457.03,234740000.0,ok,62.63661395,68.18591364,67.16526128,0.59970014,0.600393761,0.629255318,65.22208449,6.300095794,58.9219887,2447.3723,2373.23,0.0,38.82768554687482
2020-07-27,2498.66,2485.99,2526.61,2482.89,315345000.0,ok,63.39715,68.16180186,68.48893215,0.648619846,0.612286473,0.612715533,64.52919243,4.485762985,60.04342945,2464.143,2388.96,0.0,34.516933593749854
2020-07-28,2488.67,2496.71,2505.16,2477.96,215340000.0,ok,62.30216332,65.75787473,67.36853007,0.55516242,0.601160802,0.604613679,61.34684255,1.042730483,60.30411207,2470.3667,2347.75,0.0,18.303300781250073
2020-07-29,2432.99,2489.26,2489.26,2431.16,359225000.0,ok,56.44993857,45.69343867,59.87103842,0.0,0.401260755,0.53823601,51.4452959,-7.087052932,58.53234883,2478.112,2362.33,0.0,-45.12206054687522
2020-07-30,2448.0,2434.36,2448.0,2407.78,204824000.0,ok,57.60601944,38.57799859,50.00977066,0.093157314,0.216106578,0.406176045,44.99730573,-10.82803448,55.82534021,2468.862,2433.89,0.0,-20.862060546875
2020-08-02,2373.23,2449.19,2450.06,2366.89,244141000.0,ok,50.42513577,2.40078764,28.89074163,0.0,0.031052438,0.216139924,31.12061362,-19.76378128,50.88439489,2458.6228,2412.32,85.39280273437498,0.0
2020-08-03,2388.96,2373.66,2394.08,2358.11,135468000.0,ok,51.78677554,11.30616433,17.42831685,0.073862514,0.055673276,0.100944097,22.50621873,-22.70254093,45.20875966,2433.5476,2405.58,44.587607421874964,0.0
2020-08-06,2347.75,2351.96,2357.03,2326.15,157926000.0,ok,48.0623104,7.086149203,6.931033725,0.0,0.024620838,0.037115517,11.41598971,-27.03421596,38.45020567,2406.919,2377.61,59.1689453125,0.0
2020-08-09,2362.33,2351.04,2362.53,2313.26,135730000.0,ok,49.44755604,15.44490258,11.27907204,0.066605991,0.046822835,0.042372316,5.086794588,-26.69072887,31.77752345,2376.3406,2348.39,0.0,-14.010576171875073
2020-08-10,2433.89,2365.53,2433.89,2364.13,201950000.0,ok,55.69363887,37.96858771,20.1665465,0.497646449,0.188084147,0.086509273,8.536565996,-18.59276597,27.12933196,2350.8374,2356.02,0.0,83.05259765624987
