,adjclose,open,high,low,volume,other,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
1337.0,196,199,199,196,1680,ok,52.977048912125554,195.58539,196.0,0.0,0.0
1338.0,195,195,195,193,3910,ok,51.24517223443965,195.43008,195.0,0.0,0.0
1339.0,196,195,197,195,2210,ok,52.90324973540376,195.4081,196.0,0.0,0.0
1340.0,196,196,196,196,250,ok,52.90324973540376,195.4403,194.0,0.0,0.5596923828125
1341.0,193,196,196,193,3995,ok,47.30577683316264,194.96751,193.0,0.0,0.0
1342.0,196,195,196,195,1151,ok,52.69583791311559,194.80981,193.0,0.0,1.190185546875
1343.0,195,197,197,195,1694,ok,50.8294184703355,194.70435,194.0,0.0,0.295654296875
1344.0,196,198,198,196,220,ok,52.63603376070799,194.86243,191.99999999999997,0.0,1.1375732421875
1345.0,194,198,198,194,2649,ok,48.7760815802822,194.77637,193.0,0.0,-0.7763671875
1346.0,193,196,196,192,5458,ok,46.92322703450017,194.3253,195.0,1.3253021240234375,0.0
1347.0,193,192,195,192,3210,ok,46.923227034500165,193.65137,191.99999999999997,0.0,-0.6513671875
1348.0,194,194,194,193,2000,ok,49.162899734208345,193.15164,191.99999999999997,0.0,0.848358154296875
1349.0,192,193,193,192,1010,ok,45.06696492143091,192.36528,195.0,0.3652801513671875,0.0
1350.0,193,193,193,192,1530,ok,47.42551582395307,191.75977,195.0,-1.240234375,0.0
1351.0,195,195,195,193,1254,ok,51.8758198570178,191.80884,191.99999999999997,0.0,3.191162109375
1352.0,192,195,195,192,3551,ok,45.63566980381165,191.58217,194.0,-0.4178314208984375,0.0
1353.0,192,191,192,191,978,ok,45.63566980381165,191.10506,193.0,-0.8949432373046875,0.0
1354.0,195,192,195,192,2332,ok,52.29140524724316,191.27171,195.0,0.0,0.0
1355.0,195,197,197,195,87,ok,52.29140524724316,191.84103,191.99999999999997,0.0,3.158966064453125
1356.0,192,196,196,192,1300,ok,45.7898062201608,191.8988,191.99999999999997,0.0,0.1011962890625
1357.0,194,195,195,193,2198,ok,50.23233789384775,192.07526,194.0,0.0,0.0
1358.0,193,194,195,193,178,ok,48.10941445549467,192.05719,191.99999999999997,0.0,0.94281005859375
1359.0,195,195,195,195,210,ok,52.438728370292125,192.36429,190.0,0.0,2.635711669921875
1360.0,192,196,196,192,3210,ok,46.21072005114612,192.24075,191.99999999999997,0.0,-0.240753173828125
1361.0,192,192,192,191,1814,ok,46.21072005114612,191.75111,188.0,0.0,0.2488861083984375
1362.0,194,195,195,193,40,ok,50.73465802567214,191.67177,190.0,0.0,2.3282318115234375
1363.0,192,196,196,192,330,ok,46.52104136633224,191.45802,190.0,0.0,0.5419769287109375
1364.0,190,190,190,189,3200,ok,42.70176734801729,190.60828,190.0,0.0,0.0
1365.0,192,187,192,187,1011,ok,47.35616606832404,189.97392,191.0,0.0,2.0260772705078125
1366.0,188,194,194,188,1812,ok,40.30451607442194,188.99289,191.0,0.992889404296875,0.0
1367.0,190,190,191,190,3995,ok,44.73564141451696,188.26552,191.99999999999997,-1.7344818115234375,0.0
1368.0,190,193,193,190,1211,ok,44.73564141451695,187.831,193.0,-2.16900634765625,0.0
1369.0,190,193,193,190,1211,ok,44.73564141451695,187.60712,191.0,-2.39288330078125,0.0
1370.0,191,191,191,191,874,ok,47.18393046783873,187.65738,188.0,0.0,3.342620849609375
1371.0,191,192,193,190,1140,ok,47.18393046783873,187.88753,194.0,-3.1124725341796875,0.0
1372.0,192,191,192,191,636,ok,49.764963969946834,188.3577,191.99999999999997,0.0,3.642303466796875
1373.0,193,192,193,192,1588,ok,52.27652813167874,189.1307,198.0,-3.869293212890625,0.0
1374.0,191,192,193,191,1280,ok,47.19443066796592,189.46252,196.0,-1.5374755859375,0.0
1375.0,188,190,190,188,405,ok,40.78891180706551,188.81847,194.0,0.8184661865234375,0.0
1376.0,194,188,194,188,820,ok,54.18280280628719,189.10571,191.0,0.0,4.894287109375
1377.0,192,193,193,192,1173,ok,50.11348376057802,189.45639,191.0,0.0,2.543609619140625
1378.0,198,193,202,192,10888,ok,59.85447863450828,190.99965,191.99999999999997,0.0,7.0003509521484375
1379.0,196,201,201,194,4438,ok,55.93382829528606,192.60568,198.0,-3.394317626953125,0.0
1380.0,194,194,194,194,10,ok,52.24815289055915,193.39795,198.0,-0.60205078125,0.0
1381.0,191,194,194,191,3620,ok,47.2217158655416,193.19069,200.0,2.1906890869140625,0.0
1382.0,191,193,194,191,3499,ok,47.22171586554159,192.49602,196.0,1.4960174560546875,0.0
1383.0,192,191,194,189,2830,ok,49.11420745965504,191.80606,196.0,-0.193939208984375,0.0
1384.0,198,195,200,195,8728,ok,58.68633272976832,192.38066,197.0,0.0,5.6193389892578125
1385.0,198,199,200,198,2097,ok,58.68633272976832,193.54625,199.0,-4.4537506103515625,0.0
1386.0,200,201,201,197,2250,ok,61.48703472432791,195.21397,162.0,0.0,4.7860260009765625
1387.0,196,204,204,196,7780,ok,53.653057443955504,196.31276,162.0,0.0,-0.3127593994140625
1388.0,196,199,199,196,1690,ok,53.653057443955504,196.79294,162.0,0.0,-0.792938232421875
1389.0,197,199,199,197,3230,ok,55.30416435500995,197.0803,162.0,0.0,-0.0803070068359375
1390.0,199,199,200,197,9395,ok,58.48930619391092,197.5786,162.0,0.0,1.4214019775390625
