,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200,adjclose_3,true_adjclose_3,buy_profit,sell_profit
2963.0,1524.12,1524.12,1524.12,1524.12,1413260000.0,71.36240611062807,74.92628992628978,0.3037102949454401,0.7264830873747986,0.7422644054290869,20.01029444462074,2.872459797951091,10.529075258688945,1485.064,1437.6470728957604,1532.4809271042393,6.385842913738324,1500.759,1500.759,0.0,-25.073710073710217,1492.61,1506.02,1428.365,1499.315,1242.7350302722673,1528.8092,1526.96,4.689204101562609,0.0
2967.0,1532.12,1532.12,1532.12,1532.12,1298520000.0,72.44059380103697,83.88730199948054,0.3618329711024309,0.2916843131341725,0.2829698159819614,16.776290839706007,-0.6284687151792454,8.1487792772258,1497.8415,1447.4838879536685,1548.1991120463315,6.724024143586852,1520.426,1520.426,0.0,-16.112698000519455,1498.82,1521.925,1430.15,1510.3725,1253.867090350679,1544.7747,1483.14,0.0,-12.65465820312511
2970.0,1483.14,1483.14,1483.14,1483.14,1246660000.0,47.35270398755174,0.0,0.0,0.0214304424671799,0.1340517346980285,7.33346570407798,-7.061555696605877,10.621420093097589,1503.9230000000002,1458.164229430754,1549.6817705692465,6.085254440452905,1522.3960000000002,1522.3960000000002,0.0,-100.0,1501.455,1513.835,1443.3,1507.645,1261.382006025228,1545.6128,1546.8,62.4727929687499,0.0
2978.0,1619.11,1619.11,1619.11,1619.11,1301680000.0,75.7637926169461,100.0,1.0,0.9999999999999996,0.8837409496771368,29.64895101400566,9.652963907673712,14.333423203113648,1540.607,1462.9929499574391,1618.2210500425608,10.075775333042216,1558.073,1558.073,0.0,-0.0,1543.31,1551.125,1485.3249999999998,1547.2175,1285.3672642478437,1588.7523,1615.1,0.0,30.3576806640624
2981.0,1615.1,1615.1,1615.1,1615.1,1115450000.0,70.13383477500156,88.09078771695584,0.7543006508907782,0.8685967842944136,0.939697783875078,29.786461185509324,4.43939524231207,13.246595515069874,1557.4834999999998,1465.5985453501266,1649.368454649873,11.79915609377219,1593.298,1593.298,0.0,-11.90921228304416,1550.225,1589.87,1505.18,1570.0475,1295.357050149896,1617.3788,1666.29,2.278784179687591,0.0
2985.0,1684.97,1684.97,1684.97,1684.97,1461120000.0,79.77115626164452,100.0,1.0,0.9740034472898004,0.9088931272369176,35.07104524035549,5.609661316937203,14.76345031743735,1583.063,1467.4427112786454,1698.6832887213543,14.607162029730269,1634.074,1634.074,0.0,-0.0,1584.055,1649.56,1545.375,1616.8075,1309.5424498137822,1648.9753,1724.59,-35.99465820312503,0.0
2991.0,1716.83,1716.83,1716.83,1716.83,1423340000.0,79.61952162499767,92.91259475751212,0.7146230637241267,0.8238147230852083,0.9089452868960184,38.70611145508633,0.4517555021935635,10.91670220014922,1644.5185,1519.0685947349518,1769.9684052650484,15.256733842160886,1695.739,1695.739,0.0,-7.08740524248789,1603.865,1686.05,1583.13,1644.9575,1333.539041187298,1703.228,1722.53,-13.601972656249927,0.0
2996.0,1693.07,1693.07,1693.07,1693.07,1093300000.0,64.62764941979846,59.10742086144264,0.0,0.2486615137016574,0.4762565466029473,21.72867157485871,-9.67437473063945,9.822132482166108,1680.569,1594.2659850120538,1766.8720149879462,10.27068986610442,1715.846,1715.846,0.0,-40.89257913855736,1616.475,1708.83,1591.485,1662.6525,1351.897536763685,1723.6309,1745.2800000000002,30.560859375000064,0.0
3002.0,1786.84,1786.84,1786.84,1786.84,2057750000.0,75.73261935140097,87.61359505634304,0.6367723706012607,0.7830184736435326,0.7035729432862095,31.63635098890677,4.318750937267531,15.140109468454842,1720.285,1646.452298979316,1794.1177010206836,8.583775481467754,1736.029,1736.029,0.0,-12.386404943656956,1707.31,1745.45,1633.99,1726.38,1375.3778040236857,1761.7135,1866.5,-25.126499023437418,0.0
3009.0,1845.41,1845.41,1845.41,1845.41,1496390000.0,71.37474773504547,81.1328656685164,0.3773200484400149,0.6592693257204307,0.8349319159459134,42.19542043459592,1.8428928044631616,16.5335596234226,1774.226,1641.66484529769,1906.7871547023096,14.942984118405406,1834.4210000000005,1834.4210000000005,0.0,-18.8671343314836,1773.87,1834.145,1682.295,1804.0075,1407.6908766352478,1856.7123,1768.6,0.0,-11.302280273437418
3010.0,1826.47,1826.47,1826.47,1826.47,1364980000.0,65.34814985346972,71.21767354203747,0.0925645395207686,0.3780937263504696,0.6347307872148865,36.006549729362405,-3.47678232061628,16.774203661080346,1779.5895,1647.6891354098682,1911.489864590132,14.8236842923755,1838.515,1838.515,0.0,-28.78232645796253,1783.21,1834.145,1682.295,1808.6775,1411.8578330866385,1861.2767,1764.72,0.0,-34.80673339843747
3021.0,1735.06,1735.06,1735.06,1735.06,948410000.0,47.53189600079202,31.6564088841316,0.2893635010631585,0.2022361086306346,0.2018561914310971,-15.999634178587485,-11.082190872884892,27.753514394694168,1790.187,1671.480901234984,1908.893098765016,13.261865801172268,1740.534,1740.534,0.0,-68.34359111586839,1778.68,1727.74,1682.295,1753.21,1446.7241666879506,1793.0238,1681.8599999999997,0.0,-57.963803710937555
